기간	자치구	면적	면적	동	동	통	반
기간	자치구	면적	구성비(%)	행정	법정	통	반
2020	서울시	605.23	100	425	467	12,764	95,940
2020	종로구	23.91	3.95	17	87	279	1,475
2020	중구	9.96	1.65	15	74	253	1,580
2020	용산구	21.87	3.61	16	36	354	2,581
2020	성동구	16.86	2.79	17	17	467	3,626
2020	광진구	17.06	2.82	15	7	363	2,999
2020	동대문구	14.22	2.35	14	10	360	2,633
2020	중랑구	18.5	3.06	16	6	550	4,165
2020	성북구	24.58	4.06	20	39	464	3,729
2020	강북구	23.6	3.9	13	4	389	3,381
2020	도봉구	20.65	3.41	14	4	394	2,974
2020	노원구	35.44	5.86	19	5	712	5,873
2020	은평구	29.71	4.91	16	11	572	4,236
2020	서대문구	17.63	2.91	14	20	510	3,669
2020	마포구	23.85	3.94	16	26	418	3,287
2020	양천구	17.41	2.88	18	3	563	4,601
2020	강서구	41.44	6.85	20	13	644	5,068
2020	구로구	20.12	3.32	16	10	620	4,851
2020	금천구	13.02	2.15	10	3	383	2,888
2020	영등포구	24.55	4.06	18	34	583	4,924
2020	동작구	16.35	2.7	15	9	528	3,562
2020	관악구	29.57	4.89	21	3	631	5,136
2020	서초구	46.98	7.76	18	10	526	3,521
2020	강남구	39.5	6.53	22	14	840	5,572
2020	송파구	33.87	5.6	27	13	743	4,192
2020	강동구	24.59	4.06	18	9	618	5,417
