상호,주소,가격,셀프,상표,구
방죽주유소,서울 강남구 밤고개로 215 (율현동),1977,Y,GS칼텍스,강남구
(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1979,Y,SK에너지,강남구
현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1983,Y,현대오일뱅크,강남구
오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1983,Y,SK에너지,강남구
현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,1985,Y,현대오일뱅크,강남구
SK서광주유소,서울 강남구 역삼로 142,1995,Y,SK에너지,강남구
현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),1998,N,현대오일뱅크,강남구
자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1998,Y,SK에너지,강남구
(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1999,N,S-OIL,강남구
SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1999,N,SK에너지,강남구
SK에너지(주) 매봉주유소,서울 강남구 언주로 307,1999,Y,SK에너지,강남구
에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),2009,N,S-OIL,강남구
(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),2015,Y,SK에너지,강남구
일원주유소,서울 강남구 양재대로55길 3 (일원동),2038,Y,S-OIL,강남구
대교주유소,서울 강남구 강남대로 640 (신사동),2040,N,SK에너지,강남구
지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),2042,N,GS칼텍스,강남구
(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,2057,Y,SK에너지,강남구
에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,2058,N,GS칼텍스,강남구
대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),2067,Y,SK에너지,강남구
현대오일뱅크㈜직영 삼성동주유소,서울 강남구 테헤란로 619 (삼성동),2123,N,현대오일뱅크,강남구
지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,2158,N,GS칼텍스,강남구
현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),2159,N,현대오일뱅크,강남구
대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,2173,N,GS칼텍스,강남구
현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),2189,N,현대오일뱅크,강남구
지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),2228,Y,GS칼텍스,강남구
㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,2258,N,현대오일뱅크,강남구
명품주유소,서울 강남구 도곡로 249 (역삼동),2289,N,S-OIL,강남구
지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),2329,N,GS칼텍스,강남구
대청주유소,서울 강남구 개포로 654 (일원동),2336,N,SK에너지,강남구
갤러리아주유소,서울 강남구 압구정로 426,2440,N,SK에너지,강남구
SK논현주유소,서울 강남구 논현로 747 (논현동),2445,N,SK에너지,강남구
(주)소모에너지 쎈트럴주유소,서울 강남구 삼성로 335,2455,N,GS칼텍스,강남구
(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),2548,N,GS칼텍스,강남구
(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),1945,Y,현대오일뱅크,도봉구
(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1945,Y,S-OIL,도봉구
한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1945,Y,S-OIL,도봉구
삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1945,Y,SK에너지,도봉구
도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1945,N,현대오일뱅크,도봉구
대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1949,Y,GS칼텍스,도봉구
동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1949,Y,SK에너지,도봉구
극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),1949,Y,S-OIL,도봉구
노원교주유소,서울 도봉구 마들로 776 (도봉동),1953,Y,현대오일뱅크,도봉구
