순위,제목,저자,역자,출판사,쪽수,발행일,가격
1,저주토끼,정보라,-,아작,328,20220401,13320
2,긴긴밤,루리,-,문학동네,144,20210203,10350
3,웰씽킹(10만 부 기념 한정판 골드 에디션),켈리 최,-,다산북스,316,20211110,14400
3,럭키(10만부 기념 황금열쇠 양장 특별판),김도윤,-,북로망스,280,20210825,14400
5,김학렬의 부동산 투자 절대 원칙,김학렬(빠숑),-,에프엔미디어,540,20220412,22500
5,꽃샘바람에 흔들린다면 너는 꽃,류시화,-,수오서재,160,20220411,12150
5,파이어 FIRE,강환국,-,페이지2북스,428,20220408,16200
8,머니 체인저,문준희,-,마인드셋(Mindset),284,20220411,14400
8,파이어족 강환국의 하면 된다! 퀀트 투자,강환국,-,에프엔미디어,392,20210915,16830
10,놓아주는 엄마 주도하는 아이,"윌리엄 스틱스러드, 네드 존슨",이영래,쌤앤파커스,288,20220302,15750
10,세계 헤어웨어 이야기,"원종훈, 김영휴",-,아마존북스,328,20220110,15300
10,긴긴밤(큰 판형),루리,-,문학동네,152,20211215,16200
10,불편한 편의점(40만부 기념 벚꽃 에디션),김호연,-,나무옆의자,268,20210420,12600
10,나는 3학년 2반 7번 애벌레,김원아,-,창비,104,20160411,8100
15,2022 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1.2.3급),최태성,-,이투스북,392,20211221,17550
